timestamp,open,high,low,close,volume
2020-09-14,10327.72,10746.06,10241.57,10664.1,205260.236
2020-09-15,10664.1,10923.42,10592.0,10776.78,247657.23
2020-09-16,10776.88,11089.08,10661.9,10948.17,252881.019
2020-09-17,10948.16,11040.0,10740.0,10935.33,186484.361
2020-09-18,10935.97,11035.0,10810.1,10926.29,136028.351
2020-09-19,10926.3,11177.0,10880.0,11073.74,126239.232
2020-09-20,11073.2,11073.9,10751.0,10914.28,150450.562
2020-09-21,10915.52,10980.69,10281.0,10414.73,333047.145
2020-09-22,10414.73,10574.08,10353.1,10523.32,179900.686
2020-09-23,10523.32,10531.94,10132.21,10237.91,203027.542
2020-09-24,10237.91,10837.27,10191.0,10724.92,241646.573
2020-09-25,10724.91,10754.29,10551.56,10683.51,170930.773
2020-09-26,10683.5,10827.8,10642.23,10726.5,109340.491
2020-09-27,10726.5,10793.5,10584.0,10768.0,123440.716
2020-09-28,10768.0,11024.0,10627.19,10691.45,187105.377
2020-09-29,10691.94,10863.94,10631.49,10836.98,146888.319
2020-09-30,10836.99,10845.99,10660.05,10773.0,132834.116
2020-10-01,10773.0,10935.14,10442.0,10612.63,253619.622
2020-10-02,10612.62,10660.0,10371.03,10565.15,224747.037
2020-10-03,10565.44,10596.0,10491.11,10537.96,76315.911
2020-10-04,10537.96,10694.0,10514.0,10660.16,90912.105
2020-10-05,10660.16,10792.0,10608.9,10785.0,130589.137
2020-10-06,10784.99,10792.0,10510.66,10593.65,184895.25
2020-10-07,10593.65,10675.0,10540.29,10658.75,106700.522
2020-10-08,10658.75,10958.0,10523.0,10919.45,207938.861
2020-10-09,10919.45,11110.0,10818.44,11050.47,154336.818
2020-10-10,11050.46,11494.0,11050.46,11294.79,199398.012
2020-10-11,11294.78,11450.73,11273.77,11369.59,146323.076
2020-10-12,11369.59,11732.0,11157.0,11530.36,254217.203
2020-10-13,11530.37,11562.0,11308.0,11419.36,199115.115
2020-10-14,11419.36,11550.0,11280.5,11417.13,192936.97
2020-10-15,11417.12,11649.48,11250.0,11502.0,215260.399
2020-10-16,11502.0,11538.92,11175.0,11318.92,212339.085
2020-10-17,11319.51,11424.09,11250.0,11356.25,95892.966
2020-10-18,11356.25,11529.93,11342.54,11501.1,92472.191
